UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,Temp_difference,torque-per-rpm
9243,M24102,M,298.2,308.7,1269,60.9,163,0,0,0,0,0,0,10.5,0.047990543735224586
9244,L56423,L,298.3,308.8,1454,49.0,166,0,0,0,0,0,0,10.5,0.03370013755158184
9245,L56424,L,298.3,308.8,1767,27.3,168,0,0,0,0,0,0,10.5,0.015449915110356536
9246,L56425,L,298.3,308.9,1708,27.3,170,0,0,0,0,0,0,10.599999999999966,0.015983606557377048
9247,L56426,L,298.3,308.9,1862,27.0,172,0,0,0,0,0,0,10.599999999999966,0.014500537056928034
9248,L56427,L,298.3,308.9,1695,30.7,174,0,0,0,0,0,0,10.599999999999966,0.018112094395280234
9249,M24108,M,298.3,309.1,1488,40.6,176,0,0,0,0,0,0,10.800000000000011,0.02728494623655914
9250,L56429,L,298.3,309.0,1657,32.2,179,0,0,0,0,0,0,10.699999999999989,0.01943270971635486
9251,H38664,H,298.3,309.0,1823,25.9,181,0,0,0,0,0,0,10.699999999999989,0.014207350521119034
9252,M24111,M,298.2,309.1,1651,28.8,186,0,0,0,0,0,0,10.900000000000034,0.01744397334948516
9253,M24112,M,298.1,309.0,1533,36.1,189,0,0,0,0,0,0,10.899999999999977,0.02354859752120026
9254,M24113,M,298.2,309.0,1508,40.5,192,0,0,0,0,0,0,10.800000000000011,0.026856763925729443
9255,L56434,L,298.3,309.1,1616,31.1,195,0,0,0,0,0,0,10.800000000000011,0.019245049504950495
9256,L56435,L,298.2,309.0,1651,31.5,197,0,0,0,0,0,0,10.800000000000011,0.019079345850999394
9257,L56436,L,298.2,309.1,1569,35.2,199,0,0,0,0,0,0,10.900000000000034,0.022434671765455706
9258,M24117,M,298.3,309.1,1296,58.7,201,0,0,0,0,0,0,10.800000000000011,0.045293209876543214
9259,H38672,H,298.3,309.0,1379,43.2,0,0,0,0,0,0,0,10.699999999999989,0.031327048585931834
9260,M24119,M,298.2,309.0,1694,28.0,5,0,0,0,0,0,0,10.800000000000011,0.01652892561983471
9261,L56440,L,298.2,309.0,1377,57.8,8,0,0,0,0,0,0,10.800000000000011,0.04197530864197531
9262,H38675,H,298.3,309.0,1470,38.4,10,0,0,0,0,0,0,10.699999999999989,0.026122448979591834
9263,M24122,M,298.3,309.1,1404,47.0,15,0,0,0,0,0,0,10.800000000000011,0.03347578347578348
9264,L56443,L,298.3,309.1,1593,40.1,18,0,0,0,0,0,0,10.800000000000011,0.02517263025737602
9265,M24124,M,298.3,309.0,1526,36.9,20,0,0,0,0,0,0,10.699999999999989,0.02418086500655308
9266,M24125,M,298.3,308.9,1390,49.7,23,0,0,0,0,0,0,10.599999999999966,0.03575539568345324
9267,L56446,L,298.2,308.9,1737,25.5,26,0,0,0,0,0,0,10.699999999999989,0.01468048359240069
9268,L56447,L,298.2,308.8,1362,57.3,28,0,0,0,0,0,0,10.600000000000023,0.04207048458149779
9269,L56448,L,298.2,308.8,1666,31.5,30,0,0,0,0,0,0,10.600000000000023,0.018907563025210083
9270,L56449,L,298.2,308.8,1354,60.9,32,0,0,0,0,0,0,10.600000000000023,0.04497784342688331
9271,L56450,L,298.2,308.8,1302,60.4,34,0,0,0,0,0,0,10.600000000000023,0.04639016897081413
9272,L56451,L,298.2,308.7,1991,20.5,36,0,0,0,0,0,0,10.5,0.01029633350075339
9273,L56452,L,298.2,308.6,1353,54.1,38,0,0,0,0,0,0,10.400000000000034,0.03998521803399852
9274,H38687,H,298.2,308.7,1520,35.7,40,0,0,0,0,0,0,10.5,0.02348684210526316
9275,L56454,L,298.2,308.7,1428,54.9,45,0,0,0,0,0,0,10.5,0.038445378151260506
9276,L56455,L,298.2,308.7,1605,29.4,47,0,0,0,0,0,0,10.5,0.018317757009345792
9277,L56456,L,298.1,308.7,1691,30.3,49,0,0,0,0,0,0,10.599999999999966,0.0179183914843288
9278,L56457,L,298.2,308.7,1447,48.4,51,0,0,0,0,0,0,10.5,0.03344851416724257
9279,H38692,H,298.2,308.8,1606,39.9,53,0,0,0,0,0,0,10.600000000000023,0.024844333748443338
9280,M24139,M,298.2,308.8,1645,28.2,58,0,0,0,0,0,0,10.600000000000023,0.017142857142857144
9281,H38694,H,298.2,308.8,1470,43.3,61,0,0,0,0,0,0,10.600000000000023,0.029455782312925168
9282,L56461,L,298.2,308.9,1336,45.0,66,0,0,0,0,0,0,10.699999999999989,0.033682634730538924
9283,M24142,M,298.2,308.9,1414,44.3,68,0,0,0,0,0,0,10.699999999999989,0.031329561527581325
9284,M24143,M,298.3,309.0,1802,27.5,71,0,0,0,0,0,0,10.699999999999989,0.015260821309655937
9285,L56464,L,298.2,308.9,1683,31.7,74,0,0,0,0,0,0,10.699999999999989,0.018835412953060012
9286,M24145,M,298.2,309.0,1410,47.6,76,0,0,0,0,0,0,10.800000000000011,0.03375886524822695
9287,L56466,L,298.2,308.9,1605,32.0,79,0,0,0,0,0,0,10.699999999999989,0.019937694704049845
9288,L56467,L,298.2,308.9,1709,28.1,81,0,0,0,0,0,0,10.699999999999989,0.01644236395552955
9289,L56468,L,298.2,308.9,1444,53.1,83,0,0,0,0,0,0,10.699999999999989,0.03677285318559557
9290,L56469,L,298.2,308.9,1367,45.0,85,0,0,0,0,0,0,10.699999999999989,0.03291880029261156
9291,L56470,L,298.2,309.0,1418,44.2,87,0,0,0,0,0,0,10.800000000000011,0.031170662905500707
9292,L56471,L,298.2,309.0,1353,57.8,89,0,0,0,0,0,0,10.800000000000011,0.042719881744271986
9293,L56472,L,298.2,309.0,1643,34.1,91,0,0,0,0,0,0,10.800000000000011,0.020754716981132078
9294,L56473,L,298.3,309.1,1437,38.0,93,0,0,0,0,0,0,10.800000000000011,0.026443980514961725
9295,L56474,L,298.1,309.0,1437,36.2,95,0,0,0,0,0,0,10.899999999999977,0.025191370911621436
9296,M24155,M,298.2,309.0,1413,47.9,97,0,0,0,0,0,0,10.800000000000011,0.033899504600141545
9297,H38710,H,298.2,309.0,1524,39.1,100,0,0,0,0,0,0,10.800000000000011,0.025656167979002626
9298,M24157,M,298.1,308.9,1479,43.4,105,0,0,0,0,0,0,10.799999999999955,0.029344151453684922
9299,L56478,L,298.1,308.9,1313,50.6,108,0,0,0,0,0,0,10.799999999999955,0.03853769992383854
9300,M24159,M,298.1,308.9,1335,50.4,110,0,0,0,0,0,0,10.799999999999955,0.03775280898876404
9301,L56480,L,298.1,308.9,1367,41.9,113,0,0,0,0,0,0,10.799999999999955,0.030651060716898316
9302,M24161,M,298.1,308.9,1459,50.3,115,0,0,0,0,0,0,10.799999999999955,0.03447566826593557
9303,M24162,M,298.1,308.9,1804,25.1,118,0,0,0,0,0,0,10.799999999999955,0.013913525498891353
9304,L56483,L,298.2,309.0,1491,38.3,121,0,0,0,0,0,0,10.800000000000011,0.025687458081824276
9305,L56484,L,298.3,309.1,1537,43.0,123,0,0,0,0,0,0,10.800000000000011,0.02797657774886142
9306,H38719,H,298.3,309.1,1646,30.2,125,0,0,0,0,0,0,10.800000000000011,0.018347509113001214
9307,M24166,M,298.3,309.2,1783,28.3,130,0,0,0,0,0,0,10.899999999999977,0.015872125630959057
9308,L56487,L,298.3,309.1,1395,49.8,133,0,0,0,0,0,0,10.800000000000011,0.035698924731182795
9309,L56488,L,298.4,309.1,1423,48.0,135,0,0,0,0,0,0,10.700000000000045,0.03373155305692199
9310,L56489,L,298.3,309.2,1562,37.6,137,0,0,0,0,0,0,10.899999999999977,0.02407170294494238
9311,L56490,L,298.4,309.3,1549,40.8,139,0,0,0,0,0,0,10.900000000000034,0.026339573918657197
9312,L56491,L,298.4,309.4,1540,43.2,141,0,0,0,0,0,0,11.0,0.028051948051948054
9313,H38726,H,298.5,309.4,1573,33.6,143,0,0,0,0,0,0,10.899999999999977,0.02136045772409409
9314,L56493,L,298.5,309.4,1418,45.1,148,0,0,0,0,0,0,10.899999999999977,0.031805359661495065
9315,M24174,M,298.5,309.4,1565,33.7,150,0,0,0,0,0,0,10.899999999999977,0.021533546325878596
9316,L56495,L,298.5,309.5,1569,41.0,153,0,0,0,0,0,0,11.0,0.026131293817718292
9317,H38730,H,298.5,309.4,1417,41.2,155,0,0,0,0,0,0,10.899999999999977,0.029075511644318985
9318,L56497,L,298.5,309.5,1480,38.1,160,0,0,0,0,0,0,11.0,0.025743243243243244
9319,L56498,L,298.5,309.4,1364,44.5,162,0,0,0,0,0,0,10.899999999999977,0.03262463343108504
9320,L56499,L,298.5,309.4,1911,21.5,164,0,0,0,0,0,0,10.899999999999977,0.011250654107796965
9321,L56500,L,298.4,309.3,1409,43.1,166,0,0,0,0,0,0,10.900000000000034,0.03058907026259759
9322,L56501,L,298.4,309.2,1335,53.5,168,0,0,0,0,0,0,10.800000000000011,0.040074906367041196
9323,M24182,M,298.5,309.3,1512,38.1,170,0,0,0,0,0,0,10.800000000000011,0.0251984126984127
9324,L56503,L,298.6,309.4,1447,40.2,173,0,0,0,0,0,0,10.799999999999955,0.027781617138908088
9325,L56504,L,298.6,309.3,1537,37.6,175,0,0,0,0,0,0,10.699999999999989,0.024463240078074173
9326,M24185,M,298.6,309.3,1510,40.8,177,0,0,0,0,0,0,10.699999999999989,0.027019867549668872
9327,L56506,L,298.6,309.3,1677,31.2,180,0,0,0,0,0,0,10.699999999999989,0.018604651162790697
9328,L56507,L,298.5,309.2,1504,33.7,182,0,0,0,0,0,0,10.699999999999989,0.022406914893617024
9329,H38742,H,298.5,309.1,2051,19.0,184,0,0,0,0,0,0,10.600000000000023,0.009263773768893223
9330,L56509,L,298.5,309.1,1474,41.3,189,0,0,0,0,0,0,10.600000000000023,0.02801899592944369
9331,M24190,M,298.4,309.0,1507,36.1,191,0,0,0,0,0,0,10.600000000000023,0.023954877239548773
9332,L56511,L,298.4,308.9,1496,37.9,194,0,0,0,0,0,0,10.5,0.02533422459893048
9333,M24192,M,298.5,309.0,1921,22.0,196,0,0,0,0,0,0,10.5,0.011452368558042686
9334,L56513,L,298.5,309.0,1450,40.5,199,0,0,0,0,0,0,10.5,0.02793103448275862
9335,L56514,L,298.4,308.9,1402,44.8,201,0,0,0,0,0,0,10.5,0.031954350927246786
9336,L56515,L,298.4,308.9,1501,50.0,203,0,0,0,0,0,0,10.5,0.033311125916055964
9337,L56516,L,298.5,308.9,1725,31.9,205,0,0,0,0,0,0,10.399999999999977,0.018492753623188404
9338,H38751,H,298.5,308.9,1500,40.3,207,0,0,0,0,0,0,10.399999999999977,0.026866666666666664
9339,H38752,H,298.5,309.0,1531,30.8,212,0,0,0,0,0,0,10.5,0.020117570215545395
9340,L56519,L,298.5,309.0,1458,44.8,217,0,0,0,0,0,0,10.5,0.03072702331961591
9341,H38754,H,298.4,308.9,1577,37.1,0,0,0,0,0,0,0,10.5,0.023525681674064682
9342,M24201,M,298.3,308.9,1363,46.1,5,0,0,0,0,0,0,10.599999999999966,0.03382245047688921
9343,H38756,H,298.3,308.9,1706,31.8,8,0,0,0,0,0,0,10.599999999999966,0.018640093786635406
9344,M24203,M,298.3,308.8,1391,50.4,13,0,0,0,0,0,0,10.5,0.03623292595255212
9345,L56524,L,298.2,308.8,1616,33.7,16,0,0,0,0,0,0,10.600000000000023,0.020853960396039605
9346,L56525,L,298.2,308.8,1442,47.0,18,0,0,0,0,0,0,10.600000000000023,0.03259361997226075
9347,M24206,M,298.2,308.8,1626,40.4,20,0,0,0,0,0,0,10.600000000000023,0.024846248462484625
9348,M24207,M,298.2,308.7,1426,42.6,23,0,0,0,0,0,0,10.5,0.029873772791023843
9349,L56528,L,298.2,308.7,1436,49.1,26,0,0,0,0,0,0,10.5,0.034192200557103064
9350,M24209,M,298.2,308.7,1599,36.2,28,0,0,0,0,0,0,10.5,0.022639149468417764
9351,L56530,L,298.2,308.7,2186,17.8,31,0,0,0,0,0,0,10.5,0.008142726440988107
9352,L56531,L,298.3,308.8,1645,30.4,33,0,0,0,0,0,0,10.5,0.018480243161094225
9353,L56532,L,298.2,308.7,1780,27.9,35,0,0,0,0,0,0,10.5,0.015674157303370784
9354,L56533,L,298.2,308.8,1345,44.3,37,0,0,0,0,0,0,10.600000000000023,0.03293680297397769
9355,M24214,M,298.2,308.8,1607,31.9,39,0,0,0,0,0,0,10.600000000000023,0.01985065339141257
9356,L56535,L,298.3,308.9,1708,28.0,42,0,0,0,0,0,0,10.599999999999966,0.01639344262295082
9357,L56536,L,298.3,308.9,1270,52.7,44,0,0,0,0,0,0,10.599999999999966,0.041496062992125986
9358,M24217,M,298.3,308.9,1646,25.4,46,0,0,0,0,0,0,10.599999999999966,0.015431348724179828
9359,L56538,L,298.2,308.7,1407,45.1,49,0,0,0,0,0,0,10.5,0.03205401563610519
9360,M24219,M,298.1,308.7,1581,47.4,51,0,0,0,0,0,0,10.599999999999966,0.029981024667931688
9361,L56540,L,298.0,308.6,1532,42.6,54,0,0,0,0,0,0,10.600000000000023,0.027806788511749347
9362,L56541,L,298.0,308.6,1610,33.1,56,0,0,0,0,0,0,10.600000000000023,0.020559006211180127
9363,M24222,M,298.0,308.5,1682,33.0,58,0,0,0,0,0,0,10.5,0.019619500594530322
9364,L56543,L,297.9,308.5,1519,34.3,61,0,0,0,0,0,0,10.600000000000023,0.02258064516129032
9365,L56544,L,297.9,308.5,1683,28.5,63,0,0,0,0,0,0,10.600000000000023,0.01693404634581105
9366,M24225,M,298.0,308.6,1254,55.8,65,0,0,0,0,0,0,10.600000000000023,0.04449760765550239
9367,L56546,L,298.0,308.5,1461,48.0,68,0,0,0,0,0,0,10.5,0.03285420944558522
9368,L56547,L,297.9,308.5,1472,45.1,70,0,0,0,0,0,0,10.600000000000023,0.03063858695652174
9369,L56548,L,297.7,308.4,1510,38.6,72,0,0,0,0,0,0,10.699999999999989,0.025562913907284768
9370,M24229,M,297.7,308.3,1547,36.8,74,0,0,0,0,0,0,10.600000000000023,0.0237879767291532
9371,H38784,H,297.7,308.4,1418,51.9,77,0,0,0,0,0,0,10.699999999999989,0.03660084626234132
9372,L56551,L,297.7,308.4,1289,51.3,82,0,0,0,0,0,0,10.699999999999989,0.039798293250581845
9373,L56552,L,297.7,308.4,1487,41.4,84,0,0,0,0,0,0,10.699999999999989,0.027841291190316073
9374,L56553,L,297.7,308.5,1453,45.5,86,0,0,0,0,0,0,10.800000000000011,0.03131452167928424
9375,M24234,M,297.8,308.5,1466,44.7,88,0,0,0,0,0,0,10.699999999999989,0.030491132332878583
9376,H38789,H,297.7,308.4,1288,49.5,91,0,0,0,0,0,0,10.699999999999989,0.038431677018633544
9377,H38790,H,297.7,308.4,1738,27.7,96,0,0,0,0,0,0,10.699999999999989,0.015937859608745684
9378,H38791,H,297.7,308.3,1488,41.0,101,0,0,0,0,0,0,10.600000000000023,0.027553763440860215
9379,L56558,L,297.6,308.3,1816,28.8,106,0,0,0,0,0,0,10.699999999999989,0.015859030837004406
9380,L56559,L,297.5,308.2,1419,48.5,108,0,0,0,0,0,0,10.699999999999989,0.034178999295278366
9381,L56560,L,297.4,308.1,1435,45.7,110,0,0,0,0,0,0,10.700000000000045,0.03184668989547038
9382,M24241,M,297.5,308.1,1480,42.4,112,0,0,0,0,0,0,10.600000000000023,0.028648648648648647
9383,L56562,L,297.5,308.2,1610,33.6,115,0,0,0,0,0,0,10.699999999999989,0.020869565217391306
9384,H38797,H,297.5,308.1,1548,38.2,117,0,0,0,0,0,0,10.600000000000023,0.02467700258397933
9385,M24244,M,297.6,308.1,1379,57.4,122,0,0,0,0,0,0,10.5,0.0416243654822335
9386,M24245,M,297.5,308.1,1907,23.5,125,0,0,0,0,0,0,10.600000000000023,0.01232302045097011
9387,M24246,M,297.5,308.0,2033,16.7,128,0,0,0,0,0,0,10.5,0.008214461387112642
9388,H38801,H,297.4,307.9,1390,52.0,131,0,0,0,0,0,0,10.5,0.03741007194244604
9389,M24248,M,297.5,307.9,1544,37.9,136,0,0,0,0,0,0,10.399999999999977,0.02454663212435233
9390,L56569,L,297.6,308.0,1258,57.4,139,0,0,0,0,0,0,10.399999999999977,0.04562798092209857
9391,M24250,M,297.5,308.0,1560,39.0,141,0,0,0,0,0,0,10.5,0.025
9392,H38805,H,297.6,308.2,2071,18.5,144,0,0,0,0,0,0,10.599999999999966,0.008932882665379043
9393,L56572,L,297.6,308.1,1437,46.3,149,0,0,0,0,0,0,10.5,0.032219902574808626
9394,H38807,H,297.7,308.2,1489,43.0,151,0,0,0,0,0,0,10.5,0.02887844190732035
9395,L56574,L,297.7,308.2,1334,53.0,156,0,0,0,0,0,0,10.5,0.03973013493253373
9396,L56575,L,297.7,308.2,1500,39.9,158,0,0,0,0,0,0,10.5,0.0266
9397,L56576,L,297.8,308.3,1498,47.3,160,0,0,0,0,0,0,10.5,0.03157543391188251
9398,M24257,M,297.7,308.2,1370,53.4,162,0,0,0,0,0,0,10.5,0.03897810218978102
9399,H38812,H,297.7,308.2,1526,40.1,165,0,0,0,0,0,0,10.5,0.026277850589777198
9400,L56579,L,297.8,308.3,1477,44.8,170,0,0,0,0,0,0,10.5,0.030331753554502367
9401,L56580,L,297.7,308.2,1446,43.9,172,0,0,0,0,0,0,10.5,0.030359612724757953
9402,M24261,M,297.7,308.2,1720,25.6,174,0,0,0,0,0,0,10.5,0.014883720930232559
9403,L56582,L,297.7,308.1,1734,30.7,177,0,0,0,0,0,0,10.400000000000034,0.01770472895040369
9404,L56583,L,297.7,308.1,1697,29.1,179,0,0,0,0,0,0,10.400000000000034,0.017147908073070126
9405,L56584,L,297.7,308.2,2007,19.3,181,0,0,0,0,0,0,10.5,0.009616342800199303
9406,M24265,M,297.7,308.1,1469,48.8,183,0,0,0,0,0,0,10.400000000000034,0.033219877467665075
9407,M24266,M,297.7,308.1,2189,15.6,186,0,0,0,0,0,0,10.400000000000034,0.007126541799908634
9408,L56587,L,297.8,308.3,1435,50.1,189,0,0,0,0,0,0,10.5,0.03491289198606272
9409,H38822,H,297.9,308.4,1637,34.5,191,0,0,0,0,0,0,10.5,0.021075137446548563
9410,L56589,L,298.0,308.5,1664,28.3,196,0,0,0,0,0,0,10.5,0.01700721153846154
9411,M24270,M,298.0,308.5,1666,31.0,198,0,0,0,0,0,0,10.5,0.018607442977190875
9412,L56591,L,298.0,308.5,1404,46.6,201,0,0,0,0,0,0,10.5,0.03319088319088319
9413,L56592,L,298.0,308.5,1702,26.7,203,0,0,0,0,0,0,10.5,0.015687426556991773
9414,L56593,L,298.1,308.6,1439,44.9,205,0,0,0,0,0,0,10.5,0.031202223766504517
9415,L56594,L,298.1,308.6,1354,53.9,207,1,0,0,0,1,0,10.5,0.03980797636632201
9416,M24275,M,298.2,308.7,1361,44.2,0,0,0,0,0,0,0,10.5,0.032476120499632624
9417,M24276,M,298.1,308.5,1463,45.9,3,0,0,0,0,0,0,10.399999999999977,0.03137388926862611
9418,H38831,H,298.1,308.4,1515,43.8,6,0,0,0,0,0,0,10.299999999999955,0.02891089108910891
9419,L56598,L,298.0,308.4,1432,46.2,11,0,0,0,0,0,0,10.399999999999977,0.032262569832402235
9420,L56599,L,298.0,308.4,1911,22.0,13,0,0,0,0,0,0,10.399999999999977,0.011512297226582941
9421,L56600,L,298.0,308.4,1472,42.0,15,0,0,0,0,0,0,10.399999999999977,0.028532608695652172
9422,M24281,M,298.1,308.5,1382,54.5,17,0,0,0,0,0,0,10.399999999999977,0.0394356005788712
9423,L56602,L,298.1,308.5,1665,29.6,20,0,0,0,0,0,0,10.399999999999977,0.017777777777777778
9424,L56603,L,298.1,308.5,1676,30.5,22,0,0,0,0,0,0,10.399999999999977,0.018198090692124105
9425,M24284,M,298.0,308.5,1585,33.0,24,0,0,0,0,0,0,10.5,0.02082018927444795
9426,M24285,M,298.1,308.6,1415,46.3,27,0,0,0,0,0,0,10.5,0.0327208480565371
9427,L56606,L,298.1,308.7,1341,55.7,30,0,0,0,0,0,0,10.599999999999966,0.041536167039522745
9428,L56607,L,298.2,308.8,1540,34.8,32,0,0,0,0,0,0,10.600000000000023,0.022597402597402595
9429,H38842,H,298.2,308.8,1837,28.4,34,0,0,0,0,0,0,10.600000000000023,0.015459989112683722
9430,L56609,L,298.2,308.8,1498,36.0,39,0,0,0,0,0,0,10.600000000000023,0.02403204272363151
9431,L56610,L,298.1,308.7,1671,28.8,41,0,0,0,0,0,0,10.599999999999966,0.01723518850987433
9432,L56611,L,298.0,308.6,1430,57.0,43,0,0,0,0,0,0,10.600000000000023,0.03986013986013986
9433,L56612,L,298.0,308.7,1619,40.1,45,0,0,0,0,0,0,10.699999999999989,0.024768375540457074
9434,M24293,M,298.0,308.7,1430,51.9,47,0,0,0,0,0,0,10.699999999999989,0.03629370629370629
9435,L56614,L,298.0,308.6,1626,33.3,50,0,0,0,0,0,0,10.600000000000023,0.020479704797047967
9436,L56615,L,298.0,308.7,1443,49.3,52,0,0,0,0,0,0,10.699999999999989,0.034164934164934165
9437,L56616,L,298.0,308.6,1481,42.5,54,0,0,0,0,0,0,10.600000000000023,0.028696826468602294
9438,M24297,M,298.1,308.7,1527,43.0,56,0,0,0,0,0,0,10.599999999999966,0.028159790438768827
9439,M24298,M,298.1,308.7,1315,56.8,59,0,0,0,0,0,0,10.599999999999966,0.04319391634980988
9440,M24299,M,298.1,308.8,1433,48.2,62,0,0,0,0,0,0,10.699999999999989,0.033635729239357995
9441,M24300,M,298.1,308.8,1378,53.5,65,0,0,0,0,0,0,10.699999999999989,0.038824383164005806
9442,L56621,L,298.1,308.8,1432,43.4,68,0,0,0,0,0,0,10.699999999999989,0.0303072625698324
9443,M24302,M,298.1,308.8,1394,47.9,70,0,0,0,0,0,0,10.699999999999989,0.03436154949784792
9444,H38857,H,298.0,308.8,1411,53.8,73,0,0,0,0,0,0,10.800000000000011,0.038128986534372786
9445,L56624,L,298.1,308.9,2136,15.9,78,0,0,0,0,0,0,10.799999999999955,0.007443820224719101
9446,M24305,M,298.2,309.0,1446,45.8,80,0,0,0,0,0,0,10.800000000000011,0.031673582295988933
9447,H38860,H,298.1,308.9,1388,53.5,83,0,0,0,0,0,0,10.799999999999955,0.03854466858789626
9448,M24307,M,298.1,308.9,1323,51.7,88,0,0,0,0,0,0,10.799999999999955,0.03907785336356765
9449,L56628,L,298.2,309.0,1780,29.3,91,0,0,0,0,0,0,10.800000000000011,0.01646067415730337
9450,M24309,M,298.1,308.8,1434,41.8,93,0,0,0,0,0,0,10.699999999999989,0.02914923291492329
9451,M24310,M,298.0,308.7,1494,42.6,96,0,0,0,0,0,0,10.699999999999989,0.0285140562248996
9452,H38865,H,298.0,308.7,1536,39.6,99,0,0,0,0,0,0,10.699999999999989,0.025781250000000002
9453,M24312,M,298.0,308.7,1392,53.4,104,0,0,0,0,0,0,10.699999999999989,0.03836206896551724
9454,H38867,H,298.2,309.0,1360,56.8,107,0,0,0,0,0,0,10.800000000000011,0.04176470588235294
9455,L56634,L,298.4,309.2,1583,35.4,112,0,0,0,0,0,0,10.800000000000011,0.022362602653190143
9456,L56635,L,298.5,309.2,1983,20.2,114,0,0,0,0,0,0,10.699999999999989,0.010186585980837114
9457,L56636,L,298.5,309.3,1630,33.3,116,0,0,0,0,0,0,10.800000000000011,0.020429447852760733
9458,M24317,M,298.5,309.3,1692,26.7,118,0,0,0,0,0,0,10.800000000000011,0.01578014184397163
9459,L56638,L,298.4,309.1,1417,40.6,121,0,0,0,0,0,0,10.700000000000045,0.02865208186309104
9460,L56639,L,298.4,309.1,1579,36.1,123,0,0,0,0,0,0,10.700000000000045,0.02286257124762508
9461,M24320,M,298.4,309.2,1399,45.2,125,0,0,0,0,0,0,10.800000000000011,0.03230879199428163
9462,M24321,M,298.4,309.2,1414,46.4,128,0,0,0,0,0,0,10.800000000000011,0.03281471004243281
9463,L56642,L,298.5,309.3,1570,40.1,131,0,0,0,0,0,0,10.800000000000011,0.02554140127388535
9464,M24323,M,298.5,309.3,1552,36.8,133,0,0,0,0,0,0,10.800000000000011,0.023711340206185566
9465,L56644,L,298.6,309.4,1440,48.2,136,0,0,0,0,0,0,10.799999999999955,0.03347222222222222
9466,M24325,M,298.6,309.4,1460,43.8,138,0,0,0,0,0,0,10.799999999999955,0.03
9467,L56646,L,298.6,309.4,1471,48.0,141,0,0,0,0,0,0,10.799999999999955,0.03263086335825969
9468,L56647,L,298.6,309.3,1702,27.6,143,0,0,0,0,0,0,10.699999999999989,0.016216216216216217
9469,L56648,L,298.6,309.4,1375,55.4,145,0,0,0,0,0,0,10.799999999999955,0.04029090909090909
9470,L56649,L,298.6,309.4,1698,33.2,147,0,0,0,0,0,0,10.799999999999955,0.01955241460541814
9471,H38884,H,298.6,309.4,1439,47.1,149,0,0,0,0,0,0,10.799999999999955,0.032731063238359975
9472,M24331,M,298.6,309.4,1774,27.5,154,0,0,0,0,0,0,10.799999999999955,0.015501691093573845
9473,M24332,M,298.7,309.4,1375,48.3,157,0,0,0,0,0,0,10.699999999999989,0.03512727272727272
9474,L56653,L,298.7,309.5,1446,40.0,160,0,0,0,0,0,0,10.800000000000011,0.027662517289073305
9475,M24334,M,298.7,309.6,1455,46.8,162,0,0,0,0,0,0,10.900000000000034,0.03216494845360825
9476,L56655,L,298.8,309.6,1523,41.9,165,0,0,0,0,0,0,10.800000000000011,0.027511490479317138
9477,M24336,M,298.8,309.6,1692,31.9,167,0,0,0,0,0,0,10.800000000000011,0.018853427895981087
9478,M24337,M,298.8,309.6,1693,33.3,170,0,0,0,0,0,0,10.800000000000011,0.019669226225634967
9479,L56658,L,298.8,309.6,1890,24.0,173,0,0,0,0,0,0,10.800000000000011,0.012698412698412698
9480,H38893,H,298.9,309.6,1600,33.5,175,0,0,0,0,0,0,10.700000000000045,0.0209375
9481,M24340,M,298.9,309.6,1434,43.8,180,0,0,0,0,0,0,10.700000000000045,0.030543933054393305
9482,L56661,L,298.9,309.6,1365,50.9,183,0,0,0,0,0,0,10.700000000000045,0.03728937728937729
9483,H38896,H,298.8,309.6,1309,57.4,185,0,0,0,0,0,0,10.800000000000011,0.04385026737967914
9484,H38897,H,298.9,309.6,1546,35.3,190,0,0,0,0,0,0,10.700000000000045,0.02283311772315653
9485,L56664,L,298.9,309.6,1663,33.7,195,0,0,0,0,0,0,10.700000000000045,0.02026458208057727
9486,L56665,L,298.9,309.6,1589,34.2,197,0,0,0,0,0,0,10.700000000000045,0.021522970421648836
9487,M24346,M,298.9,309.6,1472,46.0,199,0,0,0,0,0,0,10.700000000000045,0.03125
9488,L56667,L,298.9,309.6,1583,39.8,202,0,0,0,0,0,0,10.700000000000045,0.02514213518635502
9489,M24348,M,298.9,309.6,1567,34.5,204,0,0,0,0,0,0,10.700000000000045,0.022016592214422464
9490,L56669,L,298.9,309.7,1407,41.9,207,0,0,0,0,0,0,10.800000000000011,0.02977967306325515
9491,M24350,M,299.0,309.7,1418,44.7,209,0,0,0,0,0,0,10.699999999999989,0.031523272214386465
9492,M24351,M,299.0,309.7,1489,40.7,212,0,0,0,0,0,0,10.699999999999989,0.027333781061114844
9493,L56672,L,299.1,309.9,1586,36.6,215,0,0,0,0,0,0,10.799999999999955,0.023076923076923078
9494,L56673,L,299.1,309.8,1398,55.4,217,1,0,0,0,1,0,10.699999999999989,0.0396280400572246
9495,L56674,L,299.2,309.9,1516,41.4,219,0,0,0,0,0,0,10.699999999999989,0.027308707124010553
9496,H38909,H,299.3,310.0,1373,44.8,221,0,0,0,0,0,0,10.699999999999989,0.03262927895120175
9497,M24356,M,299.2,310.0,1349,50.4,226,0,0,0,0,0,0,10.800000000000011,0.03736100815418829
9498,H38911,H,299.1,309.9,1443,40.3,0,0,0,0,0,0,0,10.799999999999955,0.027927927927927927
9499,H38912,H,299.2,310.1,1542,36.1,5,0,0,0,0,0,0,10.900000000000034,0.023411154345006485
